# tracer: nop
#
# entries-in-buffer/entries-written: 15/15   #P:96
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
    kworker/24:2-531590  [024] .... 874009.720305: mce_record: CPU: 24, MCGc/s: f000c14/0, MC7: 9c00004001010090, IPID: 0000000000000000, ADDR/MISC/SYND: 00000030f3dbf480/200000c020001086/0000000000000000, RIP: 00:<0000000000000000>, TSC: 959db30b543de, PROCESSOR: 0:50656, TIME: 1652127977, SOCKET: 1, APIC: 40
    kworker/24:2-531590  [024] .... 874009.720357: mce_record: CPU: 24, MCGc/s: f000c14/0, MC7: 9c00004001010090, IPID: 0000000000000000, ADDR/MISC/SYND: 00000031c5392480/200000c000001086/0000000000000000, RIP: 00:<0000000000000000>, TSC: 959db310ed14c, PROCESSOR: 0:50656, TIME: 1652127977, SOCKET: 1, APIC: 40
    kworker/24:2-531590  [024] .... 874009.720388: mce_record: CPU: 24, MCGc/s: f000c14/0, MC7: 9c00004001010090, IPID: 0000000000000000, ADDR/MISC/SYND: 000000312880e480/200000c000001086/0000000000000000, RIP: 00:<0000000000000000>, TSC: 959db3167a168, PROCESSOR: 0:50656, TIME: 1652127977, SOCKET: 1, APIC: 40
    kworker/24:2-531590  [024] .... 874009.720409: mce_record: CPU: 24, MCGc/s: f000c14/0, MC7: 9c00004001010090, IPID: 0000000000000000, ADDR/MISC/SYND: 0000003136655480/200000c007e01086/0000000000000000, RIP: 00:<0000000000000000>, TSC: 959db31c1a028, PROCESSOR: 0:50656, TIME: 1652127977, SOCKET: 1, APIC: 40
    kworker/24:2-531590  [024] .... 874009.720453: mce_record: CPU: 24, MCGc/s: f000c14/0, MC7: 9c00004001010090, IPID: 0000000000000000, ADDR/MISC/SYND: 00000031a628e480/200000c000001086/0000000000000000, RIP: 00:<0000000000000000>, TSC: 959db3272c864, PROCESSOR: 0:50656, TIME: 1652127977, SOCKET: 1, APIC: 40
    kworker/24:2-531590  [024] .... 874009.720473: mce_record: CPU: 24, MCGc/s: f000c14/0, MC7: 9c00004001010090, IPID: 0000000000000000, ADDR/MISC/SYND: 00000030ff1e9480/200000c000001086/0000000000000000, RIP: 00:<0000000000000000>, TSC: 959db32cbedd8, PROCESSOR: 0:50656, TIME: 1652127977, SOCKET: 1, APIC: 40
    kworker/24:2-531590  [024] .... 874009.720492: mce_record: CPU: 0, MCGc/s: f000c14/0, MC255: 940000000000009f, IPID: 0000000000000000, ADDR/MISC/SYND: 00000030ff1e9480/0000000000000000/0000000000000000, RIP: 00:<0000000000000000>, TSC: 0, PROCESSOR: 0:50656, TIME: 1652127977, SOCKET: 0, APIC: 0
    kworker/24:2-531590  [024] .... 874009.720521: mce_record: CPU: 24, MCGc/s: f000c14/0, MC7: 9c00004001010090, IPID: 0000000000000000, ADDR/MISC/SYND: 000000310c84d480/200000c020001086/0000000000000000, RIP: 00:<0000000000000000>, TSC: 959db3324bce8, PROCESSOR: 0:50656, TIME: 1652127977, SOCKET: 1, APIC: 40
    kworker/24:2-531590  [024] .... 874009.720565: mce_record: CPU: 24, MCGc/s: f000c14/0, MC7: 9c00004001010090, IPID: 0000000000000000, ADDR/MISC/SYND: 000000314578c480/200000c027e01086/0000000000000000, RIP: 00:<0000000000000000>, TSC: 959db337bddfc, PROCESSOR: 0:50656, TIME: 1652127977, SOCKET: 1, APIC: 40
    kworker/24:2-531590  [024] .... 874009.720585: mce_record: CPU: 24, MCGc/s: f000c14/0, MC7: 9c00004001010090, IPID: 0000000000000000, ADDR/MISC/SYND: 0000003101a72480/200000c000001086/0000000000000000, RIP: 00:<0000000000000000>, TSC: 959db33d41192, PROCESSOR: 0:50656, TIME: 1652127977, SOCKET: 1, APIC: 40
    kworker/24:2-531590  [024] .... 874009.720605: mce_record: CPU: 24, MCGc/s: f000c14/0, MC7: 9c00004001010090, IPID: 0000000000000000, ADDR/MISC/SYND: 000000310ba25480/200000c007c01086/0000000000000000, RIP: 00:<0000000000000000>, TSC: 959db342ce4be, PROCESSOR: 0:50656, TIME: 1652127977, SOCKET: 1, APIC: 40
    kworker/24:2-531590  [024] .... 874009.720634: mce_record: CPU: 24, MCGc/s: f000c14/0, MC7: dc00008001010090, IPID: 0000000000000000, ADDR/MISC/SYND: 00000031274a6480/200000c007c01086/0000000000000000, RIP: 00:<0000000000000000>, TSC: 959db34dd6d68, PROCESSOR: 0:50656, TIME: 1652127977, SOCKET: 1, APIC: 40
